Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
7,Exit long,2025-02-12 00:00,Regime Flat,3.4683,28.84,102.018616,-2.09,-2.05,1.5,1.47,-4.88,-4.78,-0.09,-0.09,18
7,Entry long,2025-02-11 15:00,Long,3.5374,28.84,102.018616,-2.09,-2.05,1.5,1.47,-4.88,-4.78,-0.09,-0.09,18
8,Exit long,2025-02-13 16:30,Regime Flat,3.5244,27.99,99.913104,-1.36,-1.36,0.71,0.71,-2.05,-2.05,-1.45,-1.45,6
8,Entry long,2025-02-13 13:30,Long,3.5696,27.99,99.913104,-1.36,-1.36,0.71,0.71,-2.05,-2.05,-1.45,-1.45,6
9,Exit short,2025-02-16 06:00,Regime Flat,3.4129,28.88,98.521232,-0.14,-0.14,1.11,1.12,-0.64,-0.64,-1.6,-1.60,10
9,Entry short,2025-02-16 01:00,Short,3.4114,28.88,98.521232,-0.14,-0.14,1.11,1.12,-0.64,-0.64,-1.6,-1.60,10
10,Exit short,2025-02-19 04:30,Regime Flat,2.9957,33.32,98.403956,-1.51,-1.54,1.05,1.06,-2.93,-2.98,-3.11,-3.11,7
10,Entry short,2025-02-19 01:00,Short,2.9533,33.32,98.403956,-1.51,-1.54,1.05,1.06,-2.93,-2.98,-3.11,-3.11,7
11,Exit short,2025-02-22 13:30,Regime Flat,3.3822,29.76,96.862848,-3.89,-4.01,0.74,0.76,-4.04,-4.16,-7,-7.00,19
11,Entry short,2025-02-22 04:00,Short,3.2548,29.76,96.862848,-3.89,-4.01,0.74,0.76,-4.04,-4.16,-7,-7.00,19
12,Exit short,2025-02-24 02:30,Regime Flat,3.3319,28.27,92.994165,-1.29,-1.39,0,0.00,-1.45,-1.56,-8.29,-8.29,5
12,Entry short,2025-02-24 00:00,Short,3.2895,28.27,92.994165,-1.29,-1.39,0,0.00,-1.45,-1.56,-8.29,-8.29,5
13,Exit short,2025-02-25 21:00,Regime Flat,2.8402,30.54,91.699404,4.87,5.31,11.2,12.21,-2.24,-2.45,-3.42,-3.42,43
13,Entry short,2025-02-24 23:30,Short,3.0026,30.54,91.699404,4.87,5.31,11.2,12.21,-2.24,-2.45,-3.42,-3.42,43
