trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
120,short,2025-10-29T01:00:00Z,2025-10-29T11:00:00Z,2.4958,2.51,58.25,145.38035,-0.97,-0.67,1.02,0.70,-1.8,-1.24,44.42,44.42,20,Short,Regime Flat
121,short,2025-10-30T14:00:00Z,2025-10-31T03:30:00Z,2.3398,2.3218,61.72,144.412456,0.97,0.67,8.19,5.67,-0.84,-0.58,45.38,45.38,27,Short,Regime Flat
122,short,2025-11-03T04:00:00Z,2025-11-04T01:00:00Z,2.2071,2.0817,65.87,145.381677,8.12,5.58,14.49,9.96,-1.47,-1.01,53.5,53.50,42,Short,Regime Flat
123,long,2025-11-07T18:00:00Z,2025-11-08T06:30:00Z,2.1357,2.1217,71.87,153.492759,-1.16,-0.75,4.49,2.93,-1.61,-1.05,52.34,52.34,25,Long,Regime Flat
124,short,2025-11-11T18:00:00Z,2025-11-12T07:30:00Z,2.0728,2.0347,73.49,152.330072,2.65,1.74,5.91,3.88,-0.64,-0.42,54.99,54.99,27,Short,Regime Flat
125,short,2025-11-13T20:30:00Z,2025-11-14T09:30:00Z,1.8362,1.8066,84.4,154.97528,2.34,1.51,6.23,4.02,-4.56,-2.94,57.34,57.34,26,Short,Regime Flat
126,short,2025-11-19T17:00:00Z,2025-11-19T21:30:00Z,1.5515,1.5772,101.4,157.3221,-2.76,-1.76,4.31,2.74,-4.52,-2.87,54.57,54.57,9,Short,Regime Flat
127,short,2025-11-20T17:30:00Z,2025-11-21T18:00:00Z,1.4985,1.3972,103.14,154.55529,10.3,6.66,18.9,12.22,-5.37,-3.47,64.87,64.87,49,Short,Regime Flat
128,long,2025-11-24T19:30:00Z,2025-11-25T08:30:00Z,1.5636,1.5242,105.44,164.865984,-4.32,-2.62,0.79,0.48,-4.92,-2.98,60.55,60.55,26,Long,Regime Flat
129,short,2025-11-26T14:30:00Z,2025-11-26T17:30:00Z,1.4875,1.5147,107.93,160.545875,-3.1,-1.93,1.98,1.23,-3.4,-2.12,57.46,57.46,6,Short,Regime Flat
130,short,2025-11-29T06:30:00Z,2025-11-29T08:30:00Z,1.5035,1.5026,104.72,157.44652,-0.06,-0.04,1,0.63,-1,-0.63,57.39,57.39,4,Short,Regime Flat
131,short,2025-12-01T01:30:00Z,2025-12-01T21:30:00Z,1.3926,1.3371,113.02,157.391652,6.12,3.89,10.1,6.42,-0.87,-0.55,63.51,63.51,40,Short,Regime Flat
132,long,2025-12-02T14:30:00Z,2025-12-03T14:00:00Z,1.4341,1.707,114.01,163.501741,30.93,18.91,40.43,24.71,-0.73,-0.45,94.44,94.44,47,Long,Regime Flat
133,short,2025-12-06T06:30:00Z,2025-12-06T09:30:00Z,1.5451,1.5312,125.85,194.450835,1.56,0.80,4.4,2.26,-0.1,-0.05,96,96.00,6,Short,Regime Flat
134,long,2025-12-09T18:30:00Z,2025-12-09T22:00:00Z,1.7112,1.6439,114.53,195.983736,-7.9,-4.03,0,0.00,-9.47,-4.83,88.1,88.10,7,Long,Regime Flat
135,short,2025-12-11T10:30:00Z,2025-12-11T16:00:00Z,1.5388,1.5406,122.24,188.102912,-0.41,-0.22,2.45,1.30,-2.8,-1.49,87.69,87.69,11,Short,Regime Flat
136,long,2025-12-12T06:00:00Z,2025-12-12T12:30:00Z,1.6495,1.6378,113.79,187.696605,-1.52,-0.81,1.53,0.82,-2.81,-1.50,86.17,86.17,13,Long,Regime Flat
137,short,2025-12-15T17:00:00Z,2025-12-16T06:30:00Z,1.4726,1.4765,126.41,186.151366,-0.68,-0.36,5.47,2.94,-0.7,-0.38,85.49,85.49,27,Short,Regime Flat
138,short,2025-12-18T06:00:00Z,2025-12-18T07:30:00Z,1.3947,1.4006,132.99,185.481153,-0.97,-0.52,0.27,0.14,-1.17,-0.63,84.52,84.52,3,Short,Regime Flat
139,long,2025-12-19T11:00:00Z,2025-12-20T01:00:00Z,1.4234,1.4678,129.63,184.515342,5.57,3.02,9.5,5.15,-0.79,-0.43,90.09,90.09,28,Long,Regime Flat
140,long,2025-12-28T00:00:00Z,2025-12-28T15:00:00Z,1.4506,1.4619,131.04,190.086624,1.29,0.68,2.12,1.11,-1.46,-0.77,91.38,91.38,30,Long,Regime Flat
141,short,2025-12-29T19:00:00Z,2025-12-30T04:00:00Z,1.4343,1.4332,133.44,191.392992,-0.04,-0.02,2.32,1.21,-1.9,-0.99,91.34,91.34,18,Short,Regime Flat
142,short,2025-12-31T18:00:00Z,2026-01-01T08:00:00Z,1.4026,1.402,136.41,191.328666,-0.11,-0.06,2.05,1.07,-1.95,-1.02,91.23,91.23,28,Short,Regime Flat
143,long,2026-01-01T18:00:00Z,2026-01-03T08:00:00Z,1.4418,1.6237,132.64,191.240352,23.92,12.50,32.95,17.22,-0.84,-0.44,115.15,115.15,76,Long,Regime Flat
144,long,2026-01-04T04:00:00Z,2026-01-04T14:30:00Z,1.703,1.692,126.32,215.12296,-1.6,-0.75,1.7,0.79,-3.39,-1.58,113.55,113.55,21,Long,Regime Flat
145,long,2026-01-05T19:30:00Z,2026-01-06T11:30:00Z,1.796,1.9614,118.9,213.5444,19.44,9.10,23.27,10.89,-0.55,-0.26,132.99,132.99,32,Long,Regime Flat
146,short,2026-01-08T02:30:00Z,2026-01-08T08:00:00Z,1.815,1.812,128.37,232.99155,0.15,0.07,6.48,2.78,-0.36,-0.15,133.14,133.14,11,Short,Regime Flat
147,long,2026-01-13T17:00:00Z,2026-01-14T05:00:00Z,1.8362,1.8576,126.96,233.123952,2.48,1.06,12.81,5.49,-2.82,-1.21,135.63,135.63,24,Long,Regime Flat
148,long,2026-01-17T06:30:00Z,2026-01-17T12:00:00Z,1.7942,1.7919,131.32,235.614344,-0.54,-0.23,1.66,0.70,-1.26,-0.53,135.09,135.09,11,Long,Regime Flat
149,short,2026-01-19T00:30:00Z,2026-01-19T16:30:00Z,1.5967,1.5697,147.22,235.066174,3.74,1.59,8.13,3.46,-1.32,-0.56,138.83,138.83,32,Short,Regime Flat
150,short,2026-01-25T16:30:00Z,2026-01-26T02:00:00Z,1.4229,1.4355,167.84,238.819536,-2.35,-0.99,8.96,3.75,-3.14,-1.31,136.48,136.48,19,Short,Regime Flat
151,short,2026-01-29T03:00:00Z,2026-01-30T01:00:00Z,1.3639,1.3266,173.38,236.472982,6.23,2.63,15.35,6.49,-2.03,-0.86,142.71,142.71,44,Short,Regime Flat
152,short,2026-01-31T10:00:00Z,2026-02-01T01:00:00Z,1.2188,1.1608,199.15,242.72402,11.31,4.66,37.38,15.39,-2.33,-0.96,154.02,154.02,30,Short,Close
