Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
33,Entry short,2025-04-02 14:30,Short,2.332,41.33,96.38156,-2.59,-2.69,0.64,0.67,-2.59,-2.68,-6.2,-6.20,5
34,Exit short,2025-04-04 06:00,Regime Flat,2.2512,42.21,93.799062,-1.32,-1.40,0.75,0.80,-1.68,-1.80,-7.51,-7.51,8
34,Entry short,2025-04-04 02:00,Short,2.2222,42.21,93.799062,-1.32,-1.40,0.75,0.80,-1.68,-1.80,-7.51,-7.51,8
35,Exit short,2025-04-07 18:30,Regime Flat,1.8494,44.24,92.479296,10.57,11.43,16.45,17.78,-1.29,-1.40,3.06,3.06,41
35,Entry short,2025-04-06 22:00,Short,2.0904,44.24,92.479296,10.57,11.43,16.45,17.78,-1.29,-1.40,3.06,3.06,41
36,Exit long,2025-04-10 16:30,Regime Flat,2.1421,45.71,103.066908,-5.25,-5.09,1.5,1.46,-6.78,-6.58,-2.19,-2.19,25
36,Entry long,2025-04-10 04:00,Long,2.2548,45.71,103.066908,-5.25,-5.09,1.5,1.46,-6.78,-6.58,-2.19,-2.19,25
37,Exit long,2025-04-11 22:30,Regime Flat,2.1605,44.48,97.807072,-1.8,-1.84,1.77,1.81,-1.96,-2.00,-4,-4.00,15
37,Entry long,2025-04-11 15:00,Long,2.1989,44.48,97.807072,-1.8,-1.84,1.77,1.81,-1.96,-2.00,-4,-4.00,15
38,Exit long,2025-04-13 13:00,Regime Flat,2.3581,41.3,95.99359,1.3,1.35,3.76,3.92,-2.25,-2.34,-2.7,-2.70,29
38,Entry long,2025-04-12 22:30,Long,2.3243,41.3,95.99359,1.3,1.35,3.76,3.92,-2.25,-2.34,-2.7,-2.70,29
39,Exit short,2025-04-15 15:00,Regime Flat,2.1854,44.69,97.276723,-0.49,-0.50,0.5,0.51,-1.68,-1.73,-3.18,-3.18,9
39,Entry short,2025-04-15 10:30,Short,2.1767,44.69,97.276723,-0.49,-0.50,0.5,0.51,-1.68,-1.73,-3.18,-3.18,9
40,Exit short,2025-04-16 17:00,Regime Flat,2.0939,46.55,96.791415,-0.78,-0.80,1.12,1.16,-1.68,-1.73,-3.96,-3.96,16
