time,open,high,low,close,Volume
1735893000,4.3006,4.3175,4.2854,4.2885,6319552.4319000002
1735894800,4.2887,4.333,4.2882,4.3114,8433222.5579000004
1735896600,4.3113,4.3458,4.3079,4.326,4617653.6856000004
1735898400,4.3259,4.3306,4.3114,4.3236,2615224.3887
1735900200,4.324,4.3434,4.3193,4.3212,2277041.8579000002
1735902000,4.3213,4.3547,4.3213,4.3451,4261443.2796999998
1735903800,4.345,4.37,4.3448,4.3624,4965681.0255000005
1735905600,4.3624,4.3927,4.3462,4.391,4522295.4907999998
1735907400,4.3912,4.4167,4.3805,4.383,7264092.9001000002
1735909200,4.3828,4.4181,4.3768,4.4,4275140.1150000002
1735911000,4.3999,4.4295,4.3919,4.3938,4971146.7187000001
1735912800,4.3938,4.4684,4.3933,4.4564,7153269.9001000002
1735914600,4.4566,4.5217,4.4294,4.5114,20922302.3537999988
1735916400,4.511,4.5746,4.4881,4.5606,14285491.0780999996
1735918200,4.561,4.6955,4.5441,4.6852,24882639.8387000002
1735920000,4.6854,4.7279,4.6514,4.6937,17191305.3649999984
1735921800,4.6942,4.7128,4.6675,4.6849,7141938.9760999996
1735923600,4.685,4.7013,4.6666,4.6766,4421756.7712000003
1735925400,4.6768,4.7147,4.6685,4.7082,5111614.2719000001
1735927200,4.7082,4.7431,4.682,4.7392,6833348.4080999997
1735929000,4.7388,4.7546,4.7248,4.7427,5070514.9148000004
1735930800,4.7427,4.7788,4.7353,4.7769,11014369.3997000009
1735932600,4.7769,4.8656,4.7693,4.8486,41710706.0483999997
1735934400,4.8486,4.8912,4.795,4.8885,26114244.5291000009
1735936200,4.8868,4.8979,4.8233,4.8233,13665423.4677000009
1735938000,4.8234,4.8617,4.8015,4.8506,8872616.2489
1735939800,4.8507,4.877,4.8201,4.8631,7073510.0268999999
1735941600,4.8626,4.9058,4.8526,4.9,13863540.3278999999
1735943400,4.8999,4.9258,4.8645,4.8923,8863116.2267000005
1735945200,4.8923,4.9318,4.8895,4.9121,10428588.5407999996
1735947000,4.912,4.9922,4.9049,4.986,33644649.9934
1735948800,4.9857,4.988,4.9116,4.9154,20516528.8883000016
1735950600,4.9153,4.9383,4.8535,4.89,16800833.3570999987
1735952400,4.89,4.8962,4.8586,4.8828,5560393.6893999996
1735954200,4.8828,4.8855,4.855,4.86,6956648.8101000004
1735956000,4.86,4.8768,4.8421,4.8765,6637698.3673999999
1735957800,4.8766,4.9266,4.8684,4.9012,8737094.6732999999
1735959600,4.9012,4.9364,4.8961,4.9216,6117781.8975
1735961400,4.9216,4.9268,4.9,4.9056,2929059.3336
1735963200,4.9056,4.916,4.8853,4.8876,5520155.4282
1735965000,4.8873,4.9146,4.8748,4.9095,6284928.6531999996
1735966800,4.9094,4.9331,4.8986,4.9317,5381369.4594999999
1735968600,4.9316,4.9387,4.9014,4.9111,7032286.7378000002
1735970400,4.9111,4.9334,4.9001,4.924,4544138.8123000003
1735972200,4.924,4.9433,4.9097,4.9259,7369847.4189999998
1735974000,4.9259,4.982,4.9233,4.9775,11732889.7358999997
1735975800,4.9775,5.0784,4.9752,5.0398,52012062.4575999975
1735977600,5.0397,5.1127,5.0268,5.048,31768063.2512000017
1735979400,5.0481,5.088,5.0188,5.0204,16615255.9476999994
1735981200,5.0204,5.0949,5.0102,5.0733,32745666.1195
1735983000,5.0733,5.0965,5.0451,5.0544,11221754.5891999993
1735984800,5.0544,5.1254,5.0311,5.1232,22947864.0795999989
1735986600,5.1227,5.2187,5.1147,5.1951,54133321.4773000032
