direction,entry_time,exit_time,entry_price,exit_price,size,net_pnl,profit_pct
long,2025-08-25T03:15:00+00:00,2025-08-25T06:45:00+00:00,26.099,25.57273201516903,11.9,-6.570035824978794,-2.115421475300027
short,2025-08-25T07:30:00+00:00,2025-08-26T23:00:00+00:00,25.216,24.727322344524424,6.890000000000001,3.1949343007498388,1.8389355738551505
long,2025-08-28T15:30:00+00:00,2025-08-29T05:00:00+00:00,24.915,24.01438542121932,6.87,-6.355294595145156,-3.7129410856563885
short,2025-08-29T05:45:00+00:00,2025-08-31T05:45:00+00:00,24.143,23.792,18.46,6.0370199499999835,1.354564470032718
long,2025-08-31T19:30:00+00:00,2025-08-31T22:30:00+00:00,23.706,23.50408620585564,30.650000000000002,-6.9121523616293805,-0.9513154359541386
short,2025-08-31T23:30:00+00:00,2025-09-01T08:00:00+00:00,23.24,23.692669934467474,13.36,-6.361180559647722,-2.048779128376548
long,2025-09-01T09:45:00+00:00,2025-09-01T11:30:00+00:00,23.593,23.229182170733726,16.28,-6.30408682332472,-1.6412873324784523
short,2025-09-01T11:45:00+00:00,2025-09-02T22:30:00+00:00,23.215,23.5541183087524,14.34,-5.198291125783179,-1.561502769359366
long,2025-09-02T22:45:00+00:00,2025-09-04T13:30:00+00:00,23.557,23.124689466087663,13.16,-5.996372142973197,-1.934250450589548
short,2025-09-04T14:30:00+00:00,2025-09-06T14:30:00+00:00,23.038,22.209,16.79,13.53906143500001,3.5002018404375406
long,2025-09-08T00:15:00+00:00,2025-09-09T14:30:00+00:00,22.467,23.207104741101183,18.17,13.03275390423562,3.1925387845757514
short,2025-09-14T12:00:00+00:00,2025-09-16T12:00:00+00:00,24.429,23.617,25.47,20.069774189999936,3.225580252978008
long,2025-09-17T23:15:00+00:00,2025-09-19T04:00:00+00:00,23.987,24.274995236265656,16.78,4.427641924505475,1.1000301773774348
short,2025-09-19T15:00:00+00:00,2025-09-21T15:00:00+00:00,23.374,23.114,9.19,2.1757876399999816,1.0129032258064432
long,2025-09-24T19:00:00+00:00,2025-09-24T21:45:00+00:00,21.815,21.634867187520047,36.85,-7.43845794281636,-0.925316278128416
short,2025-09-24T22:30:00+00:00,2025-09-26T18:00:00+00:00,21.665,21.151102246303175,31.45,15.488801145941999,2.273204258359901
long,2025-09-27T11:45:00+00:00,2025-09-27T16:45:00+00:00,20.983,20.838340705634803,47.0,-7.781788341746717,-0.7890671720822344
short,2025-09-27T17:00:00+00:00,2025-09-27T22:15:00+00:00,20.792,21.015798852627274,29.68,-7.26277768095043,-1.176908195717516
long,2025-09-27T22:45:00+00:00,2025-09-28T00:00:00+00:00,20.966,20.809789971536706,41.6,-7.3672736154810545,-0.8446910400127053
short,2025-09-28T02:00:00+00:00,2025-09-28T14:15:00+00:00,20.674,20.869202032888115,32.53,-7.025622310915321,-1.0446630255613791
long,2025-09-28T15:45:00+00:00,2025-09-29T11:00:00+00:00,20.97,21.12263252811186,25.11,3.3041297794984192,0.6274974337043702
short,2025-09-30T16:00:00+00:00,2025-09-30T19:30:00+00:00,21.039,21.353434257532957,19.96,-6.699184274247966,-1.5952776969519546
long,2025-09-30T20:45:00+00:00,2025-09-30T23:00:00+00:00,21.641,21.287438708767198,17.37,-6.51419311889939,-1.7329398391349025
short,2025-10-04T02:15:00+00:00,2025-10-05T03:00:00+00:00,22.235,22.506098389502718,22.17,-6.5062063709229045,-1.3198513096355735
long,2025-10-05T06:45:00+00:00,2025-10-05T17:45:00+00:00,22.627,22.348176236433147,21.09,-6.354656407038086,-1.3316451658861896
short,2025-10-05T18:45:00+00:00,2025-10-06T13:30:00+00:00,22.263,22.568173493629704,18.85,-6.175054165097349,-1.4714507495688682
long,2025-10-06T14:15:00+00:00,2025-10-07T07:15:00+00:00,22.681,22.97132069670026,14.13,3.7796977986524807,1.1793771718703294
short,2025-10-07T15:00:00+00:00,2025-10-09T15:00:00+00:00,22.066,21.585,8.1,3.7193134499999845,2.080914075953948
long,2025-10-10T05:15:00+00:00,2025-10-10T15:15:00+00:00,22.392,22.003139807773433,14.86,-6.1083183452585335,-1.8357349148376791
short,2025-10-10T16:15:00+00:00,2025-10-12T15:15:00+00:00,21.432,18.545652430740535,11.43,32.76248043299399,13.374200928723843
long,2025-10-13T03:45:00+00:00,2025-10-14T03:00:00+00:00,19.017,19.505519596070382,17.11,8.029010133619863,2.467572888848648
short,2025-10-14T10:45:00+00:00,2025-10-14T14:45:00+00:00,18.35,18.776953172205918,15.16,-6.7540323956870125,-2.4278836446431566
long,2025-10-14T17:15:00+00:00,2025-10-15T13:45:00+00:00,19.072,18.244249387414797,7.65,-6.4750268401836575,-4.4379652751620675
short,2025-10-15T14:00:00+00:00,2025-10-17T14:00:00+00:00,18.63,16.489,15.58,33.08320298999997,11.397962962962952
long,2025-10-19T12:15:00+00:00,2025-10-20T00:15:00+00:00,17.082,17.110898115761085,24.580000000000002,0.29008496756474444,0.06908831930221049
short,2025-10-21T23:15:00+00:00,2025-10-23T23:15:00+00:00,17.703,17.363,15.71,5.065956569999998,1.8215387222504653
long,2025-10-24T06:30:00+00:00,2025-10-24T14:15:00+00:00,17.656,17.489124429878263,32.83,-6.055432184613034,-1.044676780339119
short,2025-10-28T05:15:00+00:00,2025-10-28T07:00:00+00:00,18.195,18.435962833080517,28.46,-7.379060830586229,-1.4249976064691208
long,2025-10-28T08:45:00+00:00,2025-10-28T14:30:00+00:00,18.481,18.317383367656326,24.88,-4.528553701804288,-0.9848808182863673
short,2025-10-28T20:00:00+00:00,2025-10-29T18:00:00+00:00,17.734,18.43305355784721,9.47,-6.791288191409464,-4.043854091722856
long,2025-10-29T22:15:00+00:00,2025-10-29T23:30:00+00:00,18.414,18.040298206010895,17.35,-6.7999671626481355,-2.1284291468019525
short,2025-10-30T00:00:00+00:00,2025-11-01T00:00:00+00:00,18.142,17.15,15.88,15.472741520000016,5.3707088523867315
long,2025-11-02T06:30:00+00:00,2025-11-02T14:15:00+00:00,17.442,17.18804093640957,26.21,-7.11009374317679,-1.5552923062643833
short,2025-11-02T19:45:00+00:00,2025-11-02T21:45:00+00:00,17.048,17.234115186878864,35.0,-7.113968556530665,-1.192258590288038
long,2025-11-03T01:00:00+00:00,2025-11-03T02:00:00+00:00,17.229,16.981155708410093,25.71,-6.811848288408111,-1.5378104907081762
short,2025-11-03T02:15:00+00:00,2025-11-05T02:15:00+00:00,16.839,14.483,13.0,30.424406999999974,13.89832531623017
long,2025-11-07T06:15:00+00:00,2025-11-07T09:15:00+00:00,15.087,14.824510646271959,26.080000000000002,-7.235768444054697,-1.8389680456762578
short,2025-11-07T11:00:00+00:00,2025-11-07T15:45:00+00:00,14.562,15.054641079087721,13.6,-6.901311834930816,-3.484750718495165
long,2025-11-07T17:00:00+00:00,2025-11-10T14:45:00+00:00,15.601,16.109875864869732,10.56,5.20629570845785,3.160184776214962
short,2025-11-11T16:15:00+00:00,2025-11-12T11:15:00+00:00,15.72,16.07078245133041,15.36,-5.632171661661289,-2.3325562503567014
long,2025-11-12T13:00:00+00:00,2025-11-12T14:45:00+00:00,16.046,15.813336318425318,28.17,-7.002874662003803,-1.549254329639127
short,2025-11-12T15:45:00+00:00,2025-11-14T15:45:00+00:00,15.365,14.281,9.38,10.028880259999996,6.9585226163358245
